No.,분석 범주,세부 항목,Value
1,인물 분석,성별 추정,
2,인물 분석,연령 추정,
3,인물 분석,인종 추정,
4,인물 분석,피부톤,
5,인물 분석,얼굴형,
6,인물 분석,머리 길이,
7,인물 분석,머리 색상,
8,인물 분석,수염 유무,
9,인물 분석,표정 감정,
10,인물 분석,시선 방향,
11,인물 분석,손 위치,
12,인물 분석,손 제스처 유형,
13,인물 분석,다리 자세,
14,인물 분석,허리/어깨/상체 각도,
15,인물 분석,점프/앉음 여부,
16,인물 분석,체형,
17,인물 분석,키 범위 추정,
18,인물 분석,안경 착용 여부,
19,인물 분석,모자/후드 착용 여부,
20,인물 분석,이어폰/헤드셋 유무,
21,인물 분석,"외형적 특징(점, 흉터 등)",
22,인물 분석,인물 수,
23,인물 분석,인물 간 거리 및 상호작용 여부,
24,인물 분석,"인물 등장 패턴(반복 등장, 등장 타이밍)",
25,인물 분석,인물 점유율(전신/반신/얼굴),
26,인물 분석,인물과 카메라 거리,
27,인물 분석,특정 포즈 반복 여부,
28,인물 분석,캐릭터/코스튬/가려짐(익명성) 여부,
29,인물 분석,음성 동기화 유무,
30,의상 분석,"상의 종류, 색상, 재질, 패턴, 로고/텍스트",
31,의상 분석,"하의 종류, 색상, 재질, 패턴",
32,의상 분석,"신발 종류, 색상, 착용 상태",
33,의상 분석,"모자/헤어밴드, 귀걸이/목걸이, 시계/팔찌",
34,의상 분석,소품 존재 여부,
35,의상 분석,계절감,
36,의상 분석,트렌디함,
37,의상 분석,복장 일관성,
38,의상 분석,복장-감정/무드톤 조화,
39,의상 분석,브랜드 패션 여부,
40,의상 분석,유니폼/컨셉 의상 여부,
41,배경 분석,실내/실외,
42,배경 분석,장소 유형 및 세부 공간 추정,
43,배경 분석,배경 크기 및 점유율,
44,배경 분석,벽 색상,
45,배경 분석,바닥 재질,
46,배경 분석,조명 기구 유무,
47,배경 분석,식물/창문 유무,
48,배경 분석,타겟 국가,
49,배경 분석,국가 문화 코드,
50,배경 분석,배경 언어 감지,
51,배경 분석,계절감/날씨/시간대 추정,
52,배경 분석,배경 흐림(Out-of-focus) 여부,
53,배경 분석,오브젝트 수 및 정돈/혼란도,
54,배경 분석,동선 구조,
55,배경 분석,층고 추정,
56,배경 분석,배경 이동 유무 및 총 씬 수,
57,배경 분석,색상 대비,
58,배경 분석,공간 깊이감,
59,배경 분석,움직이는 배경,
60,제품 분석,제품 존재 유무 및 카테고리,
61,제품 분석,"제품 위치, 색상, 포장 상태",
62,제품 분석,제품 사용/시연 여부,
63,제품 분석,브랜드명/로고 노출,
64,제품 분석,기타 오브젝트 수,
65,제품 분석,인물-제품 인터랙션 여부,
66,제품 분석,브랜드 소품 존재,
67,제품 분석,색상 매칭 여부,
68,제품 분석,제품 지속 시간 및 등장 타이밍,
69,제품 분석,전면/후면 노출,
70,제품 분석,제품 중심 컷 비중,
71,제품 분석,제품 문구/코드 유무,
72,제품 분석,포커스 심도,
73,제품 분석,배경 대비,
74,제품 분석,오브젝트 애니메이션,
75,제품 분석,오브젝트 반복,
76,제품 분석,제품 다양성,
77,연출/편집 분석,앵글 종류(하이/로우/아이 레벨),
78,연출/편집 분석,무빙 방식(패닝/틸트/줌),
79,연출/편집 분석,카메라 흔들림 여부,
80,연출/편집 분석,컷 전환 기법 및 화면 전환 속도,
81,연출/편집 분석,"컷 길이, 슬로우모션 여부",
82,연출/편집 분석,시점 구성 및 시선 유도 구조,
83,연출/편집 분석,영상 연속성 여부,
84,연출/편집 분석,필터 사용 및 색보정 톤,
85,연출/편집 분석,명도/채도 및 색상 대비,
86,연출/편집 분석,브랜드 톤 일치,
87,연출/편집 분석,"광원 위치, 역광, 그림자 활용",
88,연출/편집 분석,조명 개수,
89,연출/편집 분석,시네마틱/틱톡식 편집 여부,
90,연출/편집 분석,쇼츠형 레이아웃,
91,연출/편집 분석,다중 씬 병렬,
92,연출/편집 분석,장면 밀도,
93,연출/편집 분석,인물 교체 비율,
94,연출/편집 분석,오프닝 클립/로고 시작 타이밍,
95,연출/편집 분석,이펙트 사용,
96,연출/편집 분석,클로즈업/롱샷 비율,
97,연출/편집 분석,시각적 일관성,
98,연출/편집 분석,장면 리듬,
99,연출/편집 분석,서브컬처 스타일 요소,
100,사운드 분석,"BGM 유무, 장르, 분위기, 볼륨 변화",
101,사운드 분석,감정 고조 포인트,
102,사운드 분석,"효과음 유무, 종류, 출처",
103,사운드 분석,"발화 유무, 화자 수, 화자 감정/말투",
104,사운드 분석,사운드 시점 연동 및 싱크 오류 여부,
105,사운드 분석,사운드 공백 존재,
106,사운드 분석,영상-사운드 일치도,
107,사운드 분석,전체 감정 톤 및 감정 전환 구간,
108,사운드 분석,클라이맥스 사운드,
109,사운드 분석,인물-사운드 일치,
110,사운드 분석,공간감/ASMR 효과,
111,사운드 분석,사운드 중심 연출 여부,
112,텍스트/자막 분석,"자막 유무, 색상, 언어, 위치, 애니메이션",
113,텍스트/자막 분석,"로고 유무, 브랜드 컬러 사용",
114,텍스트/자막 분석,슬로건 유무,
115,텍스트/자막 분석,키워드/가격/할인 정보 노출 및 강조,
116,텍스트/자막 분석,CTA 문구,
117,텍스트/자막 분석,텍스트 강조 스타일 및 이모지 활용,
118,텍스트/자막 분석,키네틱 타이포 여부,
119,텍스트/자막 분석,텍스트 크기 변화,
120,텍스트/자막 분석,배경 텍스트,
121,텍스트/자막 분석,제품 문구,
122,텍스트/자막 분석,해시태그/링크 정보 노출,
123,스토리 구조 분석,인트로/클라이맥스/결말 구성 유무,
124,스토리 구조 분석,스토리 구조 존재 여부,
125,스토리 구조 분석,무드/감정 변화 구간 수 및 곡선,
126,스토리 구조 분석,컷 간 분위기 일관성,
127,스토리 구조 분석,인물 교체 여부,
128,스토리 구조 분석,반복 등장 요소/패턴,
129,스토리 구조 분석,시선 유도 성공률,
130,스토리 구조 분석,메타포 사용,
131,스토리 구조 분석,공감/유머/반전 요소,
132,스토리 구조 분석,스토리텔링 강도,
133,스토리 구조 분석,총 컷 수,
134,스토리 구조 분석,평균 컷 길이,
135,스토리 구조 분석,장면 전환 속도,
136,스토리 구조 분석,장소 수,
137,스토리 구조 분석,인물 수 변화,
138,스토리 구조 분석,색상/사운드/표정 변화 흐름,
139,스토리 구조 분석,브랜드 정체성 일치도,
140,스토리 구조 분석,메시지 흐름 자연스러움,
141,스토리 구조 분석,스크롤 정지력(1초 시선 포착),
142,유튜브 성과 분석,댓글 감정 분석(긍/부정/중립) 및 언어 감지,
143,유튜브 성과 분석,댓글 키워드/반복 단어 분석,
144,유튜브 성과 분석,브랜드 인식/구매 의도 표현 감지,
145,유튜브 성과 분석,악플/비판 유무,
146,유튜브 성과 분석,유머/밈 요소 여부,
147,유튜브 성과 분석,콘텐츠에 대한 칭찬/소비자 니즈 추론,
148,유튜브 성과 분석,유입 키워드 예측,
149,유튜브 성과 분석,설명란 링크(CTA) 분석,
150,유튜브 성과 분석,썸네일 클릭 유도력,
151,유튜브 성과 분석,채널 내 다른 영상 연관도,
152,유튜브 성과 분석,영상 트렌드 속성 여부,
153,종합 분석,산업,
154,종합 분석,핵심 타겟 (Core Target Audience),
155,종합 분석,영상 목적 (브랜딩 or 판매 전환),
156,종합 분석,전체 영상 길이,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
